286	MID	Son	Spurs	122.0	9.8
75	DEF	Pereira	Leicester	117.0	6.3
139	DEF	Lundstram	Sheffield Utd	116.0	4.9
291	MID	Richarlison	Everton	131.0	8.3
16	GK	Pope	Burnley	126.0	4.8
74	DEF	van Dijk	Liverpool	135.0	6.6
73	DEF	Robertson	Liverpool	137.0	7.0
554	FW	Ings	Southampton	138.0	7.2
545	FW	Vardy	Leicester	156.0	9.7
72	DEF	Alexander-Arnold	Liverpool	164.0	7.8
285	MID	De Bruyne	Man City	178.0	10.7
70	GK	Button	Brighton	0.0	3.9
522	MID	Guendouzi	Arsenal	44.0	4.3
535	MID	Oriol Romeu	Southampton	36.0	4.3
622	FW	Greenwood	Man Utd	53.0	4.3
